date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice			
02-2014	14	2	Adjala-Tosorontio	10	5309900	530990	488750	17	53.4	52	5.5	98	58	-	10	5309900	530990	488750	17	52	98	58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
02-2014	14	2	Ajax	111	42802967	385612	382500	191	68.2	150	1.3	100	16	-	60	27133067	452218	415000	112	95	99	15	17	6146400	361553	380000	29	11	102	9	7	1771500	253071	260000	9	8	100	28	12	2648000	220667	218750	12	11	97	29	14	4815000	343929	343750	28	23	102	12	26	7463000	287038.4615			
02-2014	14	2	Aurora	60	36683750	611396	572750	109	60.5	142	2.6	98	23	-	34	25502500	750074	649000	70	98	97	22	8	3514100	439263	434500	11	4	101	7	4	1606500	401625	352000	3	8	97	28	7	3128650	446950	300000	11	22	98	40	7	2932000	418857	415000	12	8	100	22	14	6060650	432903.5714			
02-2014	14	2	Bradford West Gwillimbury	42	19457800	463281	469500	80	61.6	114	2.7	98	26	-	33	16611400	503376	497000	68	98	98	28	7	2296400	328057	301500	5	4	97	23	-	-	-	-	-	-	-	-	1	150000	150000	150000	3	2	96	16	-	-	-	-	2	5	-	-	-	-	-			
02-2014	14	2	Brampton	479	201849865	421398	396000	922	52.7	1135	2.5	98	26	-	248	123447616	497773	472750	557	724	97	27	109	41377300	379608	374000	158	145	99	21	37	10199850	275672	261000	71	80	98	30	31	6719000	216742	219000	51	104	97	41	50	18687099	373742	386500	78	73	98	24	81	25406099	313655.5432			
02-2014	14	2	Brock	18	4659708	258873	250250	26	51.9	69	6	96	72	-	17	4500558	264739	253000	25	66	96	73	-	-	-	-	-	-	-	-	1	159150	159150	159150	1	3	94	66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
02-2014	14	2	Burlington	86	45999488	534878	482000	136	65	224	2.6	98	27	-	45	30602700	680060	556500	73	130	97	25	9	4533400	503711	467000	2	7	100	22	5	1562500	312500	323500	21	26	98	42	17	5095888	299758	276000	21	45	97	40	9	3745000	416111	411000	18	15	100	9	26	8840888	340034.1538			
02-2014	14	2	Caledon	56	32433500	579170	542750	114	49.6	233	4	97	34	-	41	26101900	636632	605000	90	206	97	40	7	2968000	424000	422000	12	11	99	13	-	-	-	-	1	-	-	-	1	387000	387000	387000	3	5	96	17	5	2132600	426520	424000	5	9	99	26	6	2519600	419933.3333			
02-2014	14	2	City of Toronto	2136	1280348384	599414	459950	4393	54.3	5797	2.6	101	26	-	668	638149593	955314	769000	1274	1320	101	18	202	134996152	668298	624250	305	211	107	13	126	58361604	463187	402500	263	317	100	22	1031	384179035	372628	340000	2391	3815	98	34	81	54462300	672374	611100	121	92	103	17	1112	438641335	394461.6322			
02-2014	14	2	City of Toronto Total	2136	1280348384	599414	459950	4393	54.3	5797	2.6	101	26	-	668	638149593	955314	769000	1274	1320	101	18	202	134996152	668298	624250	305	211	107	13	126	58361604	463187	402500	263	317	100	22	1031	384179035	372628	340000	2391	3815	98	34	81	54462300	672374	611100	121	92	103	17	1112	438641335	394461.6322			
