date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
12-2021	21	12	Adjala-Tosorontio	8	12674990	1584374	1537500	8	75.6	9	1	100	24	24	8	12674990	1584374	1537500	8	9	100	24	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	-	-	-
12-2021	21	12	Ajax	86	93665041	1089128	1050000	62	79.5	17	0.4	118	8	10	52	63876644	1228397	1202500	37	12	117	9	5	4993499	998700	1020000	4	0	131	6	16	15838898	989931	997000	11	4	124	7	4	3200000	800000	812500	3	0	114	7	6	3263000	543833	523000	4	1	107	11	10	6463000	646300
12-2021	21	12	Aurora	68	96978830	1426159	1330000	47	73.7	19	0.9	110	12	17	42	70686330	1683008	1644000	32	17	108	13	6	6988800	1164800	1136000	4	1	126	9	6	7167000	1194500	1195000	3	0	114	9	6	5664700	944117	857000	3	0	107	10	8	6472000	809000	788000	5	1	108	14	14	12136700	866907.142857143
12-2021	21	12	Bradford West Gwillimbury	52	65088724	1251706	1208500	38	74.6	14	0.7	111	10	12	42	55428825	1319734	1279500	29	13	110	10	5	5246900	1049380	1050000	4	0	115	5	3	3097999	1032666	1066000	3	0	122	7	1	800000	800000	800000	1	0	136	1	1	515000	515000	515000	1	1	94	51	2	1315000	657500
12-2021	21	12	Brampton	632	769661700	1217819	1150000	601	74.8	106	0.6	112	7	9	326	474904631	1456763	1370000	308	65	110	8	128	143424097	1120501	1116000	128	15	117	5	76	77054801	1013879	999999	76	10	113	6	58	46544201	802486	781501	59	10	113	6	40	23408980	585225	588000	29	6	105	10	98	69953181	713807.969387755
12-2021	21	12	Brock	12	10536000	878000	801500	16	76.1	14	0.8	116	12	26	12	10536000	878000	801500	15	14	116	12	0	0	0	-	0	0	-	-	0	0	0	-	1	0	-	-	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	-	-	-
12-2021	21	12	Burlington	149	185324208	1243787	1160000	124	81.7	45	0.6	110	12	16	75	121775969	1623680	1450000	61	24	110	14	5	5461250	1092250	1075000	4	0	121	5	12	13726000	1143833	1140000	12	1	118	4	23	21056509	915500	915000	21	1	112	8	33	22199480	672712	600000	24	18	101	13	56	43255989	772428.375
12-2021	21	12	Caledon	65	111432276	1714343	1625000	65	69.2	52	1	104	15	23	51	96846988	1898961	1710000	48	45	103	17	3	3253888	1084629	1035000	3	1	108	7	9	9725500	1080611	1055500	13	3	115	5	0	0	0	-	0	1	-	-	2	1605900	802950	802950	1	2	104	21	-	-	-
12-2021	21	12	City of Toronto	2395	2450154556	1023029	802000	1963	69	1806	1.1	106	19	25	567	962866755	1698178	1415000	502	395	108	16	154	206734000	1342429	1159500	119	62	112	15	65	81388487	1252131	1200000	54	38	111	12	144	127027969	882139	830000	117	104	108	17	1447	1057456495	730792	650000	1160	1189	102	20	1591	1184484464	744490.549340038
12-2021	21	12	City of Toronto Total	2395	2450154556	1023029	802000	1963	69	1806	1.1	106	19	25	567	962866755	1698178	1415000	502	395	108	16	154	206734000	1342429	1159500	119	62	112	15	65	81388487	1252131	1200000	54	38	111	12	144	127027969	882139	830000	117	104	108	17	1447	1057456495	730792	650000	1160	1189	102	20	1591	1184484464	744490.549340038
